Id,Code,Description,Service,Workset,Wall,Structural,Bearing
22179013,,PRECAST,,BIMMS_HIDDEN,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22179707,GF.WL.345,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22180275,GF.WL.354,PRECAST,Other,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22181459,GF.WL.357,PRECAST,Piping,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22183413,GF.WL.036,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22184029,GF.WL.095,PRECAST,Cable Containment,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22184858,GF.WL.103,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22185109,GF.WL.101,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22185130,GF.WL.100,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_F90A_M1DA,Yes,Bearing
22193788,01.WL.099,PRECAST,Cable Containment,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_M1DE,No,Non-bearing
22194065,01.WL.103,PRECAST,Cable Containment,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_300_M1DE,No,Non-bearing
22406301,,PLASTBOARD,,BIMMS_HIDDEN,22_RHD_Interior Metal Grill Cladding Wall_variable,No,Non-bearing
22407690,,PLASTBOARD,,BIMMS_HIDDEN,22_RHD_Interior Metal Grill Cladding Wall_variable,No,Non-bearing
22407838,,PLASTBOARD,,BIMMS_HIDDEN,22_RHD_Interior Metal Grill Cladding Wall_variable,No,Non-bearing
22408221,,PLASTBOARD,,BIMMS_HIDDEN,22_RHD_Interior Metal Grill Cladding Wall_variable,No,Non-bearing
22408223,,PLASTBOARD,,BIMMS_HIDDEN,22_RHD_Interior Metal Grill Cladding Wall_variable,No,Non-bearing
22416395,GF.WL.323,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BD,No,Non-bearing
22416424,GF.WL.319,Gypsum Board,Cable Containment,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
22416426,,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
22416445,GF.WL.335,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22416602,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22416729,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22416810,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22416842,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22416851,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22416990,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22417024,,PLASTBOARD,Fire,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22417231,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22417366,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22417670,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22417858,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22420181,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22420431,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22445708,GF.WL.450,Concrete Wall,Cold Water,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22450003,GF.WL.212,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22450111,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22450247,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_10_Tile_10x30,No,Non-bearing
22450257,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22450871,GF.WL.068,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22451645,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22454718,GF.WL.116,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22454785,GF.WL.114,PRECAST,Cable Containment,BIMMS_OPE'S_WORKSHEET,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22454794,GF.WL.115,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22455633,GF.WL.384,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22456476,GF.WL.065,PRECAST,Piping,BIMMS_OPE'S_WORKSHEET,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22457169,GF.WL.391,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22457180,GF.WL.394,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22457578,GF.WL.387,PRECAST,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22458064,GF.WL.400,PRECAST,Cable Containment,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_M1CB,No,Non-bearing
22459259,,PLASTBOARD,Duct,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22471983,,PLASTBOARD,Duct,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22477991,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22478006,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22478019,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22478027,,Concrete Wall,Piping,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22478029,,Concrete Wall,Piping,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22478041,,Concrete Wall,Duct,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22478051,,Concrete Wall,Duct,BIMMS_OPEs_Gypsum,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
22481692,,PLASTBOARD,Piping,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22487409,GF.WL.071,PRECAST,Piping,BIMMS_OPEs_Precst,21_RHD_cellular_concrete_200_F90A_M1CA,No,Non-bearing
